key;title;year;month;day;journal;issn;volume;issue;pages;authors;url;language;publisher;location;abstract;notes;doi;keywords;pubmed_id;pmc_id;PDF files;[]
rayyan-146535316;Distinguishing Emotion Regulation Success in Daily Life From Maladaptive Regulation and Dysregulation;2024;;;Personality and Social Psychology Review;;;;;Springstein, Tabea and English, Tammy;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171778128&doi=10.1177%2f10888683231199140&partnerID=40&md5=621834a0d3059b9bb4eeee481cad5f8b;;;;Academic Abstract: This paper aims to motivate research on emotion regulation success in naturalistic settings. We define emotion regulation success as achieving one’s emotion regulation goal and differentiate it from related concepts (i.e., maladaptive regulation and dysregulation). As goals vary across individuals and situations, it is insufficient to conceptualize emotion regulation success as maximizing positive affect and minimizing negative affect. Instead, emotion regulation success can be measured through novel approaches targeting the achievement of emotion regulation goals. In addition to utilizing novel data analytic tools (e.g., response surface analyses), future research can make use of informant reports and observing ambulatory behavior or physiology. Considering emotion regulation goals when measuring daily emotion regulation success has the potential to answer key questions about personality, development, and mental health. Public Abstract: People differ in how they want to feel in daily situations (e.g., excited) and why they want to feel that way (e.g., to make others feel better), depending on factors such as culture or age. Although people manage their emotions to reach these goals, most research assessing emotion regulation success has not taken individual goals into account. When assessing if people successfully regulate their emotions, most research in daily life has been focused on whether people feel more positive or less negative. To help study emotion regulation success in a more thoughtful and inclusive way, we propose a new approach to conceptualizing emotion regulation success that incorporates individual differences in what motivates people to regulate and discuss future research directions and applications. © 2023 by the Society for Personality and Social Psychology, Inc.;"RAYYAN-INCLUSION: {""Tommaso""=>""Maybe""}";10.1177/10888683231199140;;;;;
rayyan-146535317;Two Meanings of “Social Skills”: Proposing an Integrative Social Skills Framework;2023;;;Group and Organization Management;;;;;Heggestad, Eric D. and Nicole Voss, E. and Toth, Allison A. and Ross, Roxanne L. and Banks, George C. and Canevello, Amy;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147362040&doi=10.1177%2f10596011221151006&partnerID=40&md5=925a356d0b1ddddd5c47b0764bb1bbae;;;;Business leaders and HR professionals have long recognized the importance of social skills for effective organizational functioning, particularly in roles requiring high levels of interpersonal interaction. Accordingly, organizational science scholars have produced a large amount of research that can be organized under the broad heading of social skills. Yet, three key issues in the literature are hampering progress: (1) the lack of a well-accepted articulation of the social skills phenomenon, what it is and what it is not;;;;;;;
rayyan-146535322;Diversity of various symbiotic associations between microbes and host plants;2023;;;Microbiome Drivers of Ecosystem Function;;;;;Kumar, Ashok and Singh, Anjali and Kumari, Neha and Kumar, Deepak and Yadav, Dhirendra Kumar;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198598946&doi=10.1016%2fB978-0-443-19121-3.00004-1&partnerID=40&md5=04de7e0733a316008b29a02ac9dcf954;;;;Plants-related microbial diversity encloses symbionts, protecting their host against several antagonisms. Microbial diversity was recognized as a critical factor in neutralizing diseases and can be carried out as a biomarker in plant protection strategies. Microorganism excites germination and plant growth, prevents infections, and incubates stress-related resistance and general fitness. Plants form favorable symbioses with a variety of microbes. Among these, some of the best understood are the root-correlated arbuscular mycorrhizal fungi, rhizobial, and actinobacterial symbioses. The rhizosphere and the significance of rhizospheric microorganisms in the conservation of roots against soil-borne pathogens were discovered. Also, the connection of microorganisms with their host plant was found. Plant–microbe symbiosis is one of the fascinating connections in the living world. It must be harnessed to feed an ever-increasing human population while preserving the agroecosystem’s balance, diversity, and productivity in an environmentally benign manner. High crop yields in an ecologically sustainable way are an urgent requirement today. Using helpful and diverse plant growth–promoting microorganisms can help tackle the challenge of increasing yields without disrupting the environment, resulting in long-term sustainability. How microbes and plants communicate shows that root exudates initiate and modify communication between plant roots and soil microorganisms. This chapter aims to demonstrate rhizosphere communications, particularly between plants and microbes and, more specifically, signaling pathways that allow bacteria to sense a wide variety of plant signals to coordinate gene expression at the population and community level. © 2024 Elsevier Inc. All rights reserved.;"RAYYAN-INCLUSION: {""Tommaso""=>""Maybe""}";10.1016/B978-0-443-19121-3.00004-1;;;;;
rayyan-146535326;Determining Positive Behavioral Skills in Different Age Groups of Young Basketball Players during the Pandemic;2023;;;Children;;;;;Pocius, Eimantas and Malinauskas, Romualdas;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163653779&doi=10.3390%2fchildren10060914&partnerID=40&md5=3d91503788f6d5441095b6236b79bf63;;;;Assessing psychological indicators such as positive behavioral skills in the context of adolescent personality development during the pandemic era is highly relevant: the growing problem of peer disrespect among adolescents who participate in sports has recently become an undeniable scientific issue. This study aimed to analyze positive behavioral skills in the cadet (U16) and junior (U18) age groups of young basketball players during the COVID-19 pandemic. The participants were 378 male athletes (age 16.36 ± 1.15 years). Results revealed that U18 athletes are more capable of taking responsibility, positively evaluating themselves, behaving pro-socially with teammates, cooperating, demonstrating assertiveness, demonstrating self-control, and managing emotions than U16 adolescent athletes. When comparing the effect sizes in the current study during the pandemic with similar studies by other authors, the pandemic may have had a larger negative effect on some positive behavioral skills (ability to control emotions, social responsibility skills, cooperation skills) in U16 athletes than in U18 athletes, as the effect sizes were small before the pandemic and moderate during the pandemic in the current study. This study’s results may be useful for developing and implementing a young athletes’ education program based on a comprehensive model of positive behavioral skills that include the indicators analyzed. © 2023 by the authors.;"RAYYAN-INCLUSION: {""Tommaso""=>""Maybe""}";10.3390/children10060914;;;;;
rayyan-146535327;The history of the study of adolescence;2024;;;Encyclopedia of Adolescence, Second Edition: Volumes 1-3;;;;;Napolitano, Christopher M. and Schmid Callina, Kristina and Mueller, Megan K. and Budesheim, Erin F. and Zarkada, Simoni;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209971929&doi=10.1016%2fB978-0-323-96023-6.00061-0&partnerID=40&md5=d397952804c466c7b68a2e8edf6c875e;;;;We chart the history of the study of adolescence across three overlapping phases. In the first phase (the 1900s through 1970s), theories of adolescence were reductionistic and research on adolescence was largely descriptive. Major shifts occurred during the second phase (the 1970s through 1990s), as theories of adolescent development were inspired by non-reductionist, relational concepts, and longitudinal studies allowed researchers to test these theories. The third phase (the 1990s onward) is characterized by the synthesis of theory, research, application, and advocacy. In particular, third phase work has increasingly focused on historically marginalized and/or minoritized youth. © 2024 Elsevier Inc. All rights are reserved.;"RAYYAN-INCLUSION: {""Tommaso""=>""Maybe""}";10.1016/B978-0-323-96023-6.00061-0;;;;;
rayyan-146535334;"""Ana Yahanu Faqat"": A Phenomenological Study on the Performance Character and Life Success";2022;;;Qualitative Report;;;;;Amien, Saiful and Setyosari, Punaji and Murtadho, Nurul and Sulton;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136218681&doi=10.46743%2f2160-3715%2f2022.4916&partnerID=40&md5=7fe7cc7212e7835a287773603ca14d01;;;;Everyone can achieve life success if they can fulfil the prerequisites. There is no dominant factor that determines success, but the strength of character can be an essential asset that is not in doubt. This study aims to explore the Yahanu character strengths in the phenomenon of achieving life success of three santri, graduates of the same pesantren (Islamic boarding school) in Indonesia. We design this research with a phenomenological approach. We collected the data through in-depth interviews, then transcribed it verbatim into a solid description, and analyzed it through descriptive-psychological phenomenological analysis procedures. The findings show that: (1) Yahanu is more of a performance character than a moral character;;;;;;;
rayyan-146535344;Perseverance, a Measure of Conscientiousness, Is a Valid Predictor of Achievement and Truancy Across the Globe;2024;;;Journal of Personality and Social Psychology;;;;;Zhang, Luyao and Wetzel, Eunike and Yoon, Hee J. and Roberts, Brent W.;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195542052&doi=10.1037%2fpspp0000505&partnerID=40&md5=77c7b63992e293cc17c01277184e2e8f;;;;Is Conscientiousness a useful construct across cultures? Using the 2012 Program for International Student Assessment data, we examined whether perseverance, a measure of Conscientiousness, was related to achievement and truancy across 62 countries/regions (N?> 470,000). We investigated whether these relationships were linear or curvilinear in nature and assessed the utility of item-level information. After establishing partial metric invariance of the perseverance measure across various countries/regions and cultural regions, our findings unveiled that perseverance consistently predicted both math achievement and truancy, with predominantly linear associations. Notably, among the five items of the Perseverance scale, the item reflecting one’s tendency to give up easily in the face of challenges emerged as the strongest and most consistent predictor of math achievement. Further, country-level correlations between perseverance and both math achievement and truancy displayed contradictory patterns compared to individual-level correlations, suggesting the presence of biasing factors in how people respond to these measures. Nonetheless, it appears reasonable to conclude that measures of Conscientiousness are pan-cultural predictors of achievement and truancy. © 2024 American Psychological Association;;10.1037/pspp0000505;;;;;
rayyan-146535353;Validation of the self-applicable version of the Resilience Subscale of the BESSI-45 Inventory in Peruvian adolescents aged 12 to 17 years;;;;;;;;;;;;;;;;;;;;;
rayyan-146535354;More skill than trait, or more trait than skill? Relations of (mis)matches between personality traits and social, emotional, and behavioral skills with adolescent outcomes;2025;;;EUROPEAN JOURNAL OF PERSONALITY;;;;;Ringwald, Whitney R. and Napolitano, Christopher M. and Sewell, Madison N. and Soto, Christopher J. and Yoon, Hee Jun and Wright, Aidan G. C.;;English;;;Personality traits and social, emotional, and behavioral (SEB) skills are closely related but incrementally predict life outcomes. This implies that although tightly connected, what a person tends to do (personality traits) and what they are capable of doing (skills) are not always perfectly aligned. In this study, we investigated whether matches and mismatches between traits and skills predict important life outcomes. We studied a diverse sample of high school students (N = 840) who self-reported their Big Five personality traits, five SEB skill domains, and an array of academic, social, and emotional outcomes. Using response surface analysis, we found that matching trait/skill levels did not confer a unique benefit for adolescents over the additive effects of traits and skills. In contrast, we found that trait/skill mismatches predicted outcomes, and in some cases, adolescents with mismatching trait/skills had the best and worst outcomes. Specifically, youth with higher skill levels relative to their traits reported better outcomes, and those with lower skills relative to their traits reported worse outcomes. Our findings provide insights into functioning that are missed by solely focusing on direct effects and show that SEB skills can enhance youth's personality strengths and buffer against shortcomings.;;10.1177/08902070241309960;;;;;
rayyan-146535355;Adaptation and Preliminary Validation of the TRUST for Primary School Teachers (TRUST-PS);2025;1;;PSICOLOGIA EDUCATIVA;;31;1;;Sidera, Francesc and Amado, Anna and Andres-Roqueta, Clara and Gorriz Plumed, Ana and Perpina, Georgina and Soria-Izquierdo, Eloy and Serrat, Elisabet;;English;;;Teachers' social and emotional competences (SEC) are important both for their well-being and for children's development. Although there are self-report instruments that assess teachers' SEC, only the TRUST assesses them directly through challenging secondary school classroom situations that teachers have to respond to. The aim of this research is to adapt it and validate it for primary school teachers, in Catalan language. A total of 143 teachers responded to a sociodemographic questionnaire, to an adaptation of the TRUST for primary school teachers (TRUST-PS), and to an emotional intelligence questionnaire (TEIQue-SF). The results revealed that the TRUST-PS has an adequate internal consistency for their two subtests: emotion regulation (alpha = .83) and relationship management (alpha = .87). Also, a two-factor model showed good fit to the data. In conclusion, the TRUST-PS can be used to directly assess primary school teachers' SEC and be helpful for designing or evaluating teacher trainings. Las competencias sociales y emocionales de los maestros y maestras son importantes tanto para su bienestar como para el desarrollo de los ni \& ntilde;;;;;;;
rayyan-146535356;Considerations When Determining Similarity Between Traits and Skills: Raters and Item Types;2024;;;JOURNAL OF PERSONALITY ASSESSMENT;;;;;Walton, Kate E. and Murano, Dana and Burrus, Jeremy;;English;;;Recent research has examined similarities and differences between traits and skills. It may be the case that traits and skills can be measured interchangeably with one providing little to no incremental validity over the other. However, methodological limitations constrain our ability to draw firm conclusions. Work in this area thus far has only examined self-reports and single-stimulus Likert items. We carried out two studies to try to determine the extent to which methodology influences observed trait-skill similarity. In Study 1, we collected both self- and observer-reports of traits and skills, and in Study 2, we used both Likert and forced choice items. We examined whether trait-skill similarity in scores and validity evidence varied according to rater and item type. Our findings suggest that trait-skill similarity is unaffected by rater but is affected by item type;;;;;;;
rayyan-146535357;Inequalities in adolescents' social, emotional, and behavioral skills: Differences across social categories and their intersections;2025;2;;LEARNING AND INDIVIDUAL DIFFERENCES;;118;;;Lechner, Clemens M. and Urban, Julian;;English;;;This paper explores inequalities in adolescents' social, emotional, and behavioral skills. We examine whether skills vary by gender, parental education, immigrant background, school track-and their intersections. In two samples of German adolescents (age 14-20y;;;;;;;
rayyan-146535358;Mapping the maze: A network analysis of social-emotional skills among children and adolescents with social-emotional difficulties;2024;;;BRITISH JOURNAL OF PSYCHOLOGY;;;;;Huo, Ming and Ning, Bo;;English;;;Developing social-emotional skills is crucial for all children and adolescents, particularly those experiencing social and emotional difficulties. This study used network analysis to identify the central skills and network association of different social-emotional skills and investigated how these networks differ between childhood and adolescence. Data were obtained from the 2019 Survey on Social and Emotional Skills by the Organization for Economic Co-operation and Development. Our study focused on the bottom quartile of participants aged 10 and 15 years, including 7737 and 7439 individuals from each age group. Optimism and cooperation consistently emerged as the central skills of social-emotional competence across both age groups. When comparing network structures, there was a significant difference between children and adolescents. The connectivity of social-emotional networks was stronger among adolescents, indicating closer skill associations. Understanding these developmental differences is important for educators and practitioners to more effectively support the social-emotional development of children and adolescents experiencing social-emotional difficulties.;;10.1111/bjop.12751;;;;;
rayyan-146535359;Soft skills and their relationship with life satisfaction and cognitive reserve in adulthood and older age;2024;12;;EUROPEAN JOURNAL OF AGEING;;21;1;;Feraco, Tommaso and Casali, Nicole and Carbone, Elena and Meneghetti, Chiara and Borella, Erika and Carretti, Barbara and Muffato, Veronica;;English;;;Soft skills are key factors for success in multiple contexts of daily life, as well as for life satisfaction, but little is known about their role in late adulthood and older age. In this study, we aimed to investigate the relationships of soft skills, as defined by the World Economic Forum, with two indicators of successful/healthy aging: life satisfaction and cognitive reserve. A sample of 435 adults aged 50 and over completed self-reported measures of soft skills, life satisfaction, and cognitive reserve. As control, fluid (reasoning) and crystalized (vocabulary) intelligence were assessed too, along with socio-demographic characteristics. A series of regression analyses showed that soft skills were positively related to both life satisfaction and, to a lower extent, cognitive reserve, above and beyond gender, age, and both fluid and crystallized intelligence. Interestingly, these associations were independent from participants' age. Overall, these results highlight the importance of considering soft skills also over the middle-late adult life course, due to the potential role of these individual qualities in supporting an individual's well-being and an active and engaged lifestyle, with implications for the promotion of a healthy aging.;;10.1007/s10433-024-00820-2;;;;;
